"","year","month","neighbourhood","num_reviews","date"
"101","2015","05","Oud-Noord",95,2015-05-01
"102","2015","05","Oud-Oost",152,2015-05-01
"103","2015","05","Slotervaart",77,2015-05-01
"104","2015","05","Watergraafsmeer",88,2015-05-01
"105","2015","05","Westerpark",274,2015-05-01
"106","2015","05","Zuid",227,2015-05-01
"107","2015","06","Bijlmer-Centrum",1,2015-06-01
"108","2015","06","Bijlmer-Oost",5,2015-06-01
"109","2015","06","Bos en Lommer",135,2015-06-01
"110","2015","06","Buitenveldert - Zuidas",28,2015-06-01
"111","2015","06","Centrum-Oost",372,2015-06-01
"112","2015","06","Centrum-West",539,2015-06-01
"113","2015","06","De Aker - Nieuw Sloten",23,2015-06-01
"114","2015","06","De Baarsjes - Oud-West",492,2015-06-01
"115","2015","06","De Pijp - Rivierenbuurt",349,2015-06-01
"116","2015","06","Gaasperdam - Driemond",18,2015-06-01
"117","2015","06","Geuzenveld - Slotermeer",8,2015-06-01
"118","2015","06","IJburg - Zeeburgereiland",27,2015-06-01
"119","2015","06","Noord-Oost",53,2015-06-01
"120","2015","06","Noord-West",54,2015-06-01
"121","2015","06","Oostelijk Havengebied - Indische Buurt",122,2015-06-01
"122","2015","06","Osdorp",18,2015-06-01
"123","2015","06","Oud-Noord",84,2015-06-01
"124","2015","06","Oud-Oost",140,2015-06-01
"125","2015","06","Slotervaart",70,2015-06-01
"126","2015","06","Watergraafsmeer",61,2015-06-01
"127","2015","06","Westerpark",251,2015-06-01
"128","2015","06","Zuid",198,2015-06-01
"129","2015","07","Bijlmer-Oost",18,2015-07-01
"130","2015","07","Bos en Lommer",135,2015-07-01
"131","2015","07","Buitenveldert - Zuidas",25,2015-07-01
"132","2015","07","Centrum-Oost",455,2015-07-01
"133","2015","07","Centrum-West",578,2015-07-01
"134","2015","07","De Aker - Nieuw Sloten",17,2015-07-01
"135","2015","07","De Baarsjes - Oud-West",595,2015-07-01
"136","2015","07","De Pijp - Rivierenbuurt",380,2015-07-01
"137","2015","07","Gaasperdam - Driemond",30,2015-07-01
"138","2015","07","Geuzenveld - Slotermeer",14,2015-07-01
"139","2015","07","IJburg - Zeeburgereiland",41,2015-07-01
"140","2015","07","Noord-Oost",73,2015-07-01
"141","2015","07","Noord-West",81,2015-07-01
"142","2015","07","Oostelijk Havengebied - Indische Buurt",132,2015-07-01
"143","2015","07","Osdorp",16,2015-07-01
"144","2015","07","Oud-Noord",90,2015-07-01
"145","2015","07","Oud-Oost",136,2015-07-01
"146","2015","07","Slotervaart",60,2015-07-01
"147","2015","07","Watergraafsmeer",74,2015-07-01
"148","2015","07","Westerpark",231,2015-07-01
"149","2015","07","Zuid",196,2015-07-01
"150","2015","08","Bijlmer-Oost",22,2015-08-01
"151","2015","08","Bos en Lommer",187,2015-08-01
"152","2015","08","Buitenveldert - Zuidas",35,2015-08-01
"153","2015","08","Centrum-Oost",442,2015-08-01
"154","2015","08","Centrum-West",537,2015-08-01
"155","2015","08","De Aker - Nieuw Sloten",18,2015-08-01
"156","2015","08","De Baarsjes - Oud-West",664,2015-08-01
"157","2015","08","De Pijp - Rivierenbuurt",509,2015-08-01
"158","2015","08","Gaasperdam - Driemond",37,2015-08-01
"159","2015","08","Geuzenveld - Slotermeer",15,2015-08-01
"160","2015","08","IJburg - Zeeburgereiland",58,2015-08-01
"161","2015","08","Noord-Oost",60,2015-08-01
"162","2015","08","Noord-West",85,2015-08-01
"163","2015","08","Oostelijk Havengebied - Indische Buurt",214,2015-08-01
"164","2015","08","Osdorp",30,2015-08-01
"165","2015","08","Oud-Noord",118,2015-08-01
"166","2015","08","Oud-Oost",204,2015-08-01
"167","2015","08","Slotervaart",69,2015-08-01
"168","2015","08","Watergraafsmeer",94,2015-08-01
"169","2015","08","Westerpark",339,2015-08-01
"170","2015","08","Zuid",228,2015-08-01
"171","2015","09","Bijlmer-Oost",11,2015-09-01
"172","2015","09","Bos en Lommer",131,2015-09-01
"173","2015","09","Buitenveldert - Zuidas",42,2015-09-01
"174","2015","09","Centrum-Oost",416,2015-09-01
"175","2015","09","Centrum-West",628,2015-09-01
"176","2015","09","De Aker - Nieuw Sloten",22,2015-09-01
"177","2015","09","De Baarsjes - Oud-West",637,2015-09-01
"178","2015","09","De Pijp - Rivierenbuurt",506,2015-09-01
"179","2015","09","Gaasperdam - Driemond",22,2015-09-01
"180","2015","09","Geuzenveld - Slotermeer",16,2015-09-01
"181","2015","09","IJburg - Zeeburgereiland",47,2015-09-01
"182","2015","09","Noord-Oost",63,2015-09-01
"183","2015","09","Noord-West",84,2015-09-01
"184","2015","09","Oostelijk Havengebied - Indische Buurt",170,2015-09-01
"185","2015","09","Osdorp",21,2015-09-01
"186","2015","09","Oud-Noord",96,2015-09-01
"187","2015","09","Oud-Oost",183,2015-09-01
"188","2015","09","Slotervaart",78,2015-09-01
"189","2015","09","Watergraafsmeer",95,2015-09-01
"190","2015","09","Westerpark",338,2015-09-01
"191","2015","09","Zuid",222,2015-09-01
"192","2015","10","Bijlmer-Centrum",1,2015-10-01
"193","2015","10","Bijlmer-Oost",13,2015-10-01
"194","2015","10","Bos en Lommer",144,2015-10-01
"195","2015","10","Buitenveldert - Zuidas",40,2015-10-01
